"Techstack","Links"
"Next.js, TypeScript, Tailwind CSS, Clerk","https://we-meet-iota.vercel.app"
"React.js, Node.js, Express.js, MongoDB","https://github.com/siddhantrambhad/We-Meet"
"HTML, CSS, JavaScript","https://siddhantrambhad.github.io/Grilli/"
"Python, OpenCV, YOLOv3","https://github.com/siddhantrambhad/YOLO-Object-Detection"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"Bootstrap, Tailwind CSS, jQuery","https://github.com/siddhantrambhad/Grilli"
"REST APIs, Node.js, Express.js","https://github.com/siddhantrambhad/We-Meet"
"MySQL, MongoDB","https://github.com/siddhantrambhad/We-Meet"
"Computer Vision, OpenCV","https://github.com/siddhantrambhad/YOLO-Object-Detection"
"JavaScript, Full-stack Development","https://github.com/siddhantrambhad"
"Git, Version Control","https://github.com/siddhantrambhad"
